Mapa;Fase;Veiculo;Placa;Frota Cadastro;Tipo Mapa  ;Entrega;Emissao;DtOper;HrOper;Usuario;Lacre-1;Lacre-2;Lacre-3;Lacre-4;Motorista;DtIniCarreg;HrIniCarreg;DtFimCarreg;HrFimCarreg;KmPrev;KmAtual;Conferente;Destino;Promax/RF;Liberacao;Frota Mapa;Motivo Nao Carreg        ;Cx Carregadas;MinOper
020727;Gerado               ;222;SJQ2D73;Padronizada;Recarga Rota             ;               ;01/10/2025;30/09/2025;19:10;josesouza   ;            ;            ;            ;            ;00188;          ;     ;          ;     ;00400;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        134,92;           
020727;Emitido              ;222;SJQ2D73;Padronizada;Recarga Rota             ;               ;01/10/2025;30/09/2025;19:22;josesouza   ;            ;            ;            ;            ;00188;          ;     ;          ;     ;00400;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        134,92;           
020727;Carga Montada        ;222;SJQ2D73;Padronizada;Recarga Rota             ;               ;01/10/2025;30/09/2025;21:40;WMS         ;            ;            ;            ;            ;00188;          ;     ;          ;     ;00400;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        134,92;           
020727;Carga Conferida      ;222;SJQ2D73;Padronizada;Recarga Rota             ;               ;01/10/2025;30/09/2025;21:55;WMS         ;            ;            ;            ;            ;00188;          ;     ;          ;     ;00400;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        134,92;           
020727;Carregado            ;222;SJQ2D73;Padronizada;Recarga Rota             ;               ;01/10/2025;30/09/2025;21:55;WMS         ;1           ;0           ;0           ;0           ;00188;30/09/2025;21:55;30/09/2025;21:55;00400;0161326;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        134,92;           
020727;Saida Cdd/Fab        ;222;SJQ2D73;Padronizada;Recarga Rota             ;               ;01/10/2025;01/10/2025;08:04;portaria.pa ;            ;            ;            ;            ;00188;          ;     ;          ;     ;00400;0000000;00000   ;Rota         ;Promax         ;01/10/2025;Padronizada;00                                                            ;        134,92;           
020727;Entrada Cdd/Fab      ;222;SJQ2D73;Padronizada;Recarga Rota             ;               ;01/10/2025;01/10/2025;14:48;icaro.pa    ;            ;            ;            ;            ;00188;          ;     ;          ;     ;00400;0000000;00000   ;Rota         ;Promax         ;01/10/2025;Padronizada;00                                                            ;        134,92;        404
020727;PC_Fisica            ;222;SJQ2D73;Padronizada;Recarga Rota             ;               ;01/10/2025;01/10/2025;14:59;WMS         ;            ;            ;            ;            ;00188;          ;     ;          ;     ;00400;0161729;00000   ;             ;WMS            ;01/10/2025;Padronizada;00                                                            ;        134,92;           
020727;PC_Financeira        ;222;SJQ2D73;Padronizada;Recarga Rota             ;               ;01/10/2025;01/10/2025;14:59;FECH AUTO   ;            ;            ;            ;            ;00188;          ;     ;          ;     ;00400;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        134,92;           
020728;Gerado               ;134;RCQ4G68;Padronizada;Rota                     ;               ;01/10/2025;30/09/2025;19:10;josesouza   ;            ;            ;            ;            ;00002;          ;     ;          ;     ;00397;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        264,35;           
020728;Emitido              ;134;RCQ4G68;Padronizada;Rota                     ;               ;01/10/2025;30/09/2025;19:22;josesouza   ;            ;            ;            ;            ;00002;          ;     ;          ;     ;00397;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        264,35;           
020728;Carga Montada        ;134;RCQ4G68;Padronizada;Rota                     ;               ;01/10/2025;30/09/2025;22:27;WMS         ;            ;            ;            ;            ;00002;          ;     ;          ;     ;00397;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        264,35;           
020728;Carga Conferida      ;134;RCQ4G68;Padronizada;Rota                     ;               ;01/10/2025;30/09/2025;22:54;WMS         ;            ;            ;            ;            ;00002;          ;     ;          ;     ;00397;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        264,35;           
020728;Carregado            ;134;RCQ4G68;Padronizada;Rota                     ;               ;01/10/2025;30/09/2025;22:54;WMS         ;1           ;0           ;0           ;0           ;00002;30/09/2025;22:54;30/09/2025;22:54;00397;0385443;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        264,35;           
020728;Saida Cdd/Fab        ;134;RCQ4G68;Padronizada;Rota                     ;               ;01/10/2025;01/10/2025;08:04;portaria.pa ;            ;            ;            ;            ;00002;          ;     ;          ;     ;00397;0000000;00000   ;Rota         ;Promax         ;01/10/2025;Padronizada;00                                                            ;        264,35;           
020728;Entrada Cdd/Fab      ;134;RCQ4G68;Padronizada;Rota                     ;               ;01/10/2025;01/10/2025;13:50;icaro.pa    ;            ;            ;            ;            ;00002;          ;     ;          ;     ;00397;0000000;00000   ;Rota         ;Promax         ;01/10/2025;Padronizada;00                                                            ;        264,35;        346
020728;PC_Fisica            ;134;RCQ4G68;Padronizada;Rota                     ;               ;01/10/2025;01/10/2025;14:23;josesouza   ;            ;            ;            ;            ;00002;          ;     ;          ;     ;00397;0385841;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        264,35;           
020728;PC_Financeira        ;134;RCQ4G68;Padronizada;Rota                     ;               ;01/10/2025;01/10/2025;14:23;FECH AUTO   ;            ;            ;            ;            ;00002;          ;     ;          ;     ;00397;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        264,35;           
020729;Gerado               ;133;RCP0A43;Padronizada;Rota                     ;               ;01/10/2025;30/09/2025;19:10;josesouza   ;            ;            ;            ;            ;00996;          ;     ;          ;     ;00282;0000000;00000   ;             ;Promax         ;01/10/2025;Padronizada;00                                                            ;        210,78;           
