Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora
172555                            ;01/03/2024;    ;098252;006;    ;0016228;DISTRI 24 HORAS                                   ;(87)99166-4122 ;040;413;PDB6166;    1996,00;    1,58;01/03/2024;71;SEM DINHEIRO/CHEQUE           ;   ;lucianob   ;14:50
172555                            ;01/03/2024;    ;098258;006;    ;0024174;BAR DA SOCORRO                                    ;(87) 3986-2505 ;040;406;PDB6166;     998,00;    1,38;01/03/2024;64;SEM VASILHAME                 ;   ;lucianob   ;14:50
172559                            ;01/03/2024;    ;098393;006;    ;0017555;LANCHONETE E CONVENI                              ;(87)99106-3229 ;040;400;RZN7B71;     590,26;    0,83;01/03/2024;64;SEM VASILHAME                 ;   ;lucianob   ;17:25
172559                            ;01/03/2024;    ;098394;006;    ;0017555;LANCHONETE E CONVENI                              ;(87)99106-3229 ;040;400;RZN7B71;      22,50;    0,02;01/03/2024;64;SEM VASILHAME                 ;   ;lucianob   ;17:25
172564                            ;01/03/2024;    ;098510;006;    ;0007186;DIST DOIS IRMAOS                                  ;(87)98848-7237 ;040;401;RZW8I16;      75,90;    0,14;01/03/2024;71;SEM DINHEIRO/CHEQUE           ;   ;lucianob   ;13:19
172565                            ;01/03/2024;    ;098515;006;    ;0009995;DISTRIBUIDORA                                     ;(87)99961-5805 ;040;408;RZH6B16;     205,25;    0,26;01/03/2024;52;FALTA PRODUTO ESTOQUE         ;   ;lucianob   ;17:34
172566                            ;01/03/2024;    ;098528;006;    ;0009155;BALDS BEER                                        ;(87)98875-9400 ;040;409;RZW8I16;     310,80;    0,28;01/03/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;lucianob   ;16:50
172574                            ;01/03/2024;    ;098761;006;    ;0026471;MERC PRECO BOM                                    ;(87)99192-3352 ;040;404;KHW1563;     226,78;    0,29;01/03/2024;62;FORMA PAGAMENTO ERRADA        ;   ;lucianob   ;16:21
172574                            ;01/03/2024;    ;098762;006;    ;0026471;MERC PRECO BOM                                    ;(87)99192-3352 ;040;404;KHW1563;      37,02;    0,12;01/03/2024;62;FORMA PAGAMENTO ERRADA        ;   ;lucianob   ;16:21
172589                            ;02/03/2024;    ;098829;006;    ;0017808;VERASBAR                                          ;(87)99141-1871 ;040;407;RZW8I16;     436,00;    0,55;02/03/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;evanete    ;15:47
172590                            ;02/03/2024;    ;098867;006;    ;0016395;MERCADINHO SILVA                                  ;(87)98814-8837 ;040;405;RZH6B16;     175,22;    0,28;02/03/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;evanete    ;12:26
172590                            ;02/03/2024;    ;098868;006;    ;0016395;MERCADINHO SILVA                                  ;(87)98814-8837 ;040;405;RZH6B16;      69,42;    0,18;02/03/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;evanete    ;12:26
172591                            ;02/03/2024;    ;098882;006;    ;0009056;MERC HELOISA                                      ;(87)99116-5659 ;040;406;RZN4I62;     788,98;    1,57;02/03/2024;71;SEM DINHEIRO/CHEQUE           ;   ;evanete    ;13:53
172592                            ;02/03/2024;    ;098942;006;    ;0017675;MER PRESTÍGIO                                     ;(74)99909-0644 ;040;404;KIZ3217;     178,16;    0,38;02/03/2024;50;CARGA ERRADA ARMAZEM          ;   ;evanete    ;13:06
172593                            ;02/03/2024;    ;098980;006;    ;0009161;DISTR PAI E FILHO                                 ;(87) 8829-9799 ;040;413;PDB6166;       8,33;    0,00;02/03/2024;68;TROCA (SEM SELO / QTDE. ERRADA;   ;evanete    ;15:30
172593                            ;02/03/2024;    ;098994;006;    ;0017287;EMPÓRIO DO VALE DELI                              ;(87)98835-5043 ;040;409;PDB6166;       7,50;    0,01;02/03/2024;68;TROCA (SEM SELO / QTDE. ERRADA;   ;evanete    ;15:30
172594                            ;02/03/2024;    ;099008;006;    ;0005756;MACAXEIRA                                         ;(87) 9977-0007 ;040;412;PEG6080;    1231,73;    1,70;02/03/2024;64;SEM VASILHAME                 ;   ;evanete    ;14:24
172598                            ;02/03/2024;    ;099088;006;    ;0010050;NUTRI MAIS                                        ;(87)98818-2851 ;040;403;PCG6384;      98,94;    0,21;02/03/2024;72;PDV FECHADO (HORARIO COM.)    ;   ;evanete    ;14:52
172617                            ;04/03/2024;    ;099406;006;    ;0009105;DISTRIBUIDORA NUNES                               ;(87)99614-3134 ;040;410;PER3140;    3710,30;    4,65;04/03/2024;64;SEM VASILHAME                 ;   ;idute      ;18:11
