Mapa                     ;Data;Unb Nota;Nota;Serie;Unb Cliente;Cod. Cliente;Nome Cliente;Telefone;Area;Setor;Placa;Valor;Volume;Data Devol.;Cod. Motivo;Desc. Motivo;Orig. Pedido;Usuario;Hora 
015550                            ;02/01/2025;    ;245383;001;    ;0010526;MERCADINHO BOM PRECO                              ;(75) 9710-4002 ;060;602;RCQ4G68;      91,80;    0,11;02/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;icaro.pa   ;18:08
015561                            ;02/01/2025;    ;245759;001;    ;0005235;KIOSQUE DO NEGAO                                  ;(75)98886-6763 ;060;606;NKV3226;     633,57;    0,82;03/01/2025;32;ENTREGA ATRASADA (BUFFER)     ;   ;icaro.pa   ;10:49
015562                            ;02/01/2025;    ;245777;001;    ;0003123;BAR DA EDIVANIA                                   ;(75)98837-7593 ;060;604;RDN4E94;     134,90;    0,14;02/01/2025;71;SEM DINHEIRO/CHEQUE           ;   ;icaro.pa   ;17:17
015564                            ;02/01/2025;    ;245835;001;    ;0013145;REST TEMPERO DE CASA                              ;(75)99259-5987 ;060;607;RPR6B86;     267,14;    0,44;02/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;icaro.pa   ;18:03
015564                            ;02/01/2025;    ;245838;001;    ;0012761;MERCEARIA SILVA                                   ;(75)98888-0552 ;060;607;RPR6B86;    1093,69;    1,26;02/01/2025;42;Produto/Quantidade Errada     ;   ;icaro.pa   ;18:02
015578                            ;03/01/2025;    ;245883;001;    ;0014281;BAR 3 IRMAOS                                      ;(75)99875-4505 ;060;605;SJQ2D73;    1364,28;    1,85;03/01/2025;42;Produto/Quantidade Errada     ;   ;icaro.pa   ;17:32
015578                            ;03/01/2025;    ;245913;001;    ;0018302;QUIOSQUE ORLA10                                   ;(87)98128-9796 ;060;605;SJQ2D73;    1855,96;    2,24;03/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;icaro.pa   ;17:32
015583                            ;03/01/2025;    ;246056;001;    ;0018063;MERCADO LIKE 2                                    ;(75)99904-0340 ;060;602;RPQ3A36;      62,66;    0,08;04/01/2025;87;TEMPO INSUFICIENTE            ;   ;roany      ;17:58
015586                            ;03/01/2025;    ;246164;001;    ;0003198;BAR DO SIMAO                                      ;(75)98845-2127 ;060;607;RDN4E94;     120,29;    0,14;03/01/2025;43;Forma de Pagamento            ;   ;icaro.pa   ;14:28
015586                            ;03/01/2025;    ;246165;001;    ;0003198;BAR DO SIMAO                                      ;(75)98845-2127 ;060;607;RDN4E94;      30,69;    0,01;03/01/2025;43;Forma de Pagamento            ;   ;icaro.pa   ;14:29
015612                            ;04/01/2025;    ;246598;001;    ;0012925;LANCHONETE 5 ESTRELA                              ;(75)99966-8234 ;060;600;RDJ3F75;    1521,00;    1,79;04/01/2025;32;ENTREGA ATRASADA (BUFFER)     ;   ;roany      ;15:49
015615                            ;04/01/2025;    ;246684;001;    ;0013960;ESPACO VIP                                        ;(75)99812-3238 ;060;607;RCP0A43;     880,02;    0,51;04/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;roany      ;18:40
015617                            ;04/01/2025;    ;246706;001;    ;0006569;COROA BEER                                        ;(75)99154-4651 ;060;604;RCP5E66;     596,40;    0,74;04/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;roany      ;17:13
015618                            ;04/01/2025;    ;246744;001;    ;0018243;DISK DO DANILO                                    ;(75)98861-6201 ;070;760;NKV3226;    2397,68;    2,79;04/01/2025;42;Produto/Quantidade Errada     ;DER;roany      ;18:50
015619                            ;04/01/2025;    ;246790;001;    ;0018553;YSA BAR E RESTAURANT                              ;(75)98126-9684 ;060;607;RPR6B86;      49,92;    0,07;04/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;roany      ;17:49
015619                            ;04/01/2025;    ;246791;001;    ;0018553;YSA BAR E RESTAURANT                              ;(75)98126-9684 ;060;607;RPR6B86;      12,52;    0,06;04/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;roany      ;17:49
015643                            ;06/01/2025;    ;246944;001;    ;0011034;BAR ZE LOPEIRO                                    ;(75)99701-7672 ;060;601;RCP2H16;     215,60;    0,27;06/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;icaro.pa   ;17:59
015644                            ;06/01/2025;    ;246973;001;    ;0006126;HIPER BOM JESUS                                   ;(75) 3277-1917 ;060;600;RPH0H69;    1789,75;    2,72;07/01/2025;85;DIFICIL ACESSO                ;   ;eletisandra;20:45
015647                            ;06/01/2025;    ;247130;001;    ;0013772;BAR DO NILDO                                      ;(75)98871-6147 ;060;603;PKP3742;     486,56;    0,62;06/01/2025;85;DIFICIL ACESSO                ;   ;roany      ;20:02
015649                            ;06/01/2025;    ;247183;001;    ;0018566;DISK GELADA                                       ;(66)99929-8143 ;060;606;RCP5E66;     912,50;    1,05;06/01/2025;32;ENTREGA ATRASADA (BUFFER)     ;   ;icaro.pa   ;17:20
015649                            ;06/01/2025;    ;247184;001;    ;0018566;DISK GELADA                                       ;(66)99929-8143 ;060;606;RCP5E66;     194,50;    0,21;06/01/2025;32;ENTREGA ATRASADA (BUFFER)     ;   ;icaro.pa   ;17:20
015662                            ;07/01/2025;    ;247259;001;    ;0003873;GUTEMBERGUE                                       ;(75)99856-7979 ;060;602;RCQ4G68;     151,30;    0,33;07/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;eletisandra;20:49
015662                            ;07/01/2025;    ;247300;001;    ;0003658;BAR DA AMIZADE                                    ;(75)99807-6694 ;060;602;RCQ4G68;     298,40;    0,43;07/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;eletisandra;20:51
015662                            ;07/01/2025;    ;247301;001;    ;0003658;BAR DA AMIZADE                                    ;(75)99807-6694 ;060;602;RCQ4G68;     914,82;    1,28;07/01/2025;72;PDV FECHADO (HORARIO COM.)    ;DER;eletisandra;20:51
015662                            ;07/01/2025;    ;247304;001;    ;0003270;SR DO BONFIM                                      ;(75) 9986-2962 ;060;602;RCQ4G68;     318,96;    0,46;07/01/2025;72;PDV FECHADO (HORARIO COM.)    ;   ;eletisandra;20:48
